gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1030746739	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045726	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	桂港	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	28.292516	117.245492							1979-01-01T00:00:00			1979	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98a5f3-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		沈绍金、黄大付			2021-03-30T12:25:08.294Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746738	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045661	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	墩头乡九连山瑕公塘	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	24.742369	114.530131							1958-01-01T00:00:00			1958	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98c2c3-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0					2021-03-30T12:25:08.273Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746737	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045681	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	灵坛乡丫山寺	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	25.395202	114.358084							1958-01-01T00:00:00			1958	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98b9e5-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0					2021-03-30T12:25:08.273Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746736	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045721	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	七岭公社	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	26.32496	114.514242							1965-01-01T00:00:00			1965	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98a83d-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		赖书绅等			2021-03-30T12:25:08.273Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746734	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045720	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	横岩后山	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	29.326488	114.963104							1977-01-01T00:00:00			1977	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98a8ba-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		李启和,张少春,			2021-03-30T12:25:08.272Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746733	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045657	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	陇首99坞	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	28.676309	118.242051							1977-01-01T00:00:00			1977	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98c483-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		赖书绅，单汉荣，黄大付			2021-03-30T12:25:08.272Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746732	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045727	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	金溪	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.979271	116.362606							1959-01-01T00:00:00			1959	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98a581-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0					2021-03-30T12:25:08.272Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746731	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045644	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	莲塘社	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	25.885558	116.027126							1958-01-01T00:00:00			1958	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98ca53-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		胡启明			2021-03-30T12:25:08.272Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746729	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045660	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	灵坛乡丫山	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	25.395202	114.358084							1958-01-01T00:00:00			1958	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98c32f-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0					2021-03-30T12:25:08.274Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746727	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045668	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	陂头乡上坑山	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	24.742369	114.530131							1958-01-01T00:00:00			1958	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98bfa1-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0					2021-03-30T12:25:08.276Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
